instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,demand_cluster,7_day_MA,30_day_MA
1,2011-01-01,Spring,2011,1,0,6,0,Misty/Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,Low Demand (Quiet Day),,
2,2011-01-02,Spring,2011,1,0,0,0,Misty/Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,Low Demand (Quiet Day),,
3,2011-01-03,Spring,2011,1,0,1,1,Clear/Partly Cloudy,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Low Demand (Quiet Day),,
4,2011-01-04,Spring,2011,1,0,2,1,Clear/Partly Cloudy,0.2,0.212122,0.590435,0.160296,108,1454,1562,Low Demand (Quiet Day),,
5,2011-01-05,Spring,2011,1,0,3,1,Clear/Partly Cloudy,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Low Demand (Quiet Day),,
6,2011-01-06,Spring,2011,1,0,4,1,Clear/Partly Cloudy,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Low Demand (Quiet Day),,
7,2011-01-07,Spring,2011,1,0,5,1,Misty/Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Low Demand (Quiet Day),1344.7142857142858,
8,2011-01-08,Spring,2011,1,0,6,0,Misty/Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,Low Demand (Quiet Day),1341.0,
9,2011-01-09,Spring,2011,1,0,0,0,Clear/Partly Cloudy,0.138333,0.116175,0.434167,0.36195,54,768,822,Low Demand (Quiet Day),1344.0,
10,2011-01-10,Spring,2011,1,0,1,1,Clear/Partly Cloudy,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Low Demand (Quiet Day),1340.0,
11,2011-01-11,Spring,2011,1,0,2,1,Misty/Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Low Demand (Quiet Day),1297.2857142857142,
12,2011-01-12,Spring,2011,1,0,3,1,Clear/Partly Cloudy,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Low Demand (Quiet Day),1234.7142857142858,
13,2011-01-13,Spring,2011,1,0,4,1,Clear/Partly Cloudy,0.165,0.150883,0.470417,0.301,38,1368,1406,Low Demand (Quiet Day),1206.142857142857,
14,2011-01-14,Spring,2011,1,0,5,1,Clear/Partly Cloudy,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Low Demand (Quiet Day),1193.4285714285713,
15,2011-01-15,Spring,2011,1,0,6,0,Misty/Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Low Demand (Quiet Day),1234.7142857142858,
16,2011-01-16,Spring,2011,1,0,0,0,Clear/Partly Cloudy,0.231667,0.234217,0.48375,0.188433,251,953,1204,Low Demand (Quiet Day),1289.2857142857142,
